customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,Age,state,property_valuation,value,cluster
124,Female,27,Health,High Net Worth,Yes,5.0,27.0,VIC,8.0,4054.25,3
125,Female,94,Property,Mass Customer,No,16.0,62.0,NSW,10.0,3345.01,1
126,Male,53,Health,Mass Customer,Yes,3.0,30.0,QLD,4.0,1096.46,0
127,Female,81,Financial Services,Mass Customer,No,19.0,47.0,QLD,1.0,3993.71,2
128,Male,73,Property,Mass Customer,Yes,12.0,45.0,NSW,5.0,2193.06,0
129,Male,64,Financial Services,High Net Worth,Yes,19.0,37.0,NSW,9.0,2753.75,3
130,Male,32,Manufacturing,Mass Customer,No,1.0,25.0,NSW,7.0,1779.58,1
131,Female,57,Retail,High Net Worth,No,8.0,58.0,QLD,3.0,5494.91,2
132,Female,5,Manufacturing,Mass Customer,Yes,9.0,59.0,NSW,8.0,2780.7200000000003,0
133,Male,12,Financial Services,Mass Customer,Yes,16.0,45.0,QLD,1.0,803.8900000000001,0
134,Female,34,Telecommunications,Affluent Customer,Yes,5.0,25.0,NSW,11.0,2946.42,3
135,Female,18,IT,Mass Customer,No,3.0,47.0,VIC,6.0,4549.5,2
136,Male,46,Manufacturing,High Net Worth,Yes,7.0,49.0,QLD,3.0,3543.2000000000003,3
137,Male,27,Property,High Net Worth,No,10.0,34.0,NSW,10.0,1496.4499999999998,1
138,Male,5,Financial Services,Affluent Customer,Yes,13.0,37.0,NSW,9.0,3377.12,3
139,Male,1,Telecommunications,Affluent Customer,No,4.0,58.0,QLD,1.0,5161.44,2
140,Male,9,Manufacturing,Mass Customer,No,2.0,28.0,VIC,9.0,2699.9,2
141,Male,67,Financial Services,High Net Worth,Yes,10.0,68.0,NSW,11.0,2138.3500000000004,3
142,Male,57,Health,Affluent Customer,No,17.0,55.0,VIC,9.0,3917.3399999999997,2
143,Male,19,Argiculture,Mass Customer,Yes,11.0,65.0,QLD,6.0,2474.77,0
144,U,71,IT,Mass Customer,No,7.0,44.0,NSW,3.0,4888.02,1
145,Male,33,Financial Services,Mass Customer,No,4.0,25.0,NSW,5.0,3140.3,1
146,Male,34,Manufacturing,Mass Customer,No,8.0,37.0,NSW,11.0,217.05999999999995,1
147,Female,32,Health,Mass Customer,Yes,10.0,48.0,NSW,11.0,5034.16,0
148,Female,69,Not Specified,Mass Customer,Yes,5.0,41.0,VIC,8.0,3268.4,0
149,Female,41,Health,Mass Customer,Yes,1.0,27.0,QLD,7.0,2204.4799999999996,0
150,Male,6,Financial Services,Affluent Customer,No,17.0,39.0,NSW,7.0,2446.51,1
151,Male,36,Manufacturing,Mass Customer,Yes,13.0,57.0,NSW,9.0,6296.4400000000005,0
152,Female,5,Financial Services,Mass Customer,No,16.0,41.0,NSW,12.0,1966.88,1
153,Female,73,Entertainment,Mass Customer,Yes,12.0,45.0,NSW,8.0,5522.509999999999,0
154,Female,90,Not Specified,Mass Customer,No,11.0,64.0,NSW,8.0,675.1500000000001,1
155,Male,4,Manufacturing,Mass Customer,No,10.0,36.0,NSW,10.0,1088.42,1
156,Female,23,Financial Services,Mass Customer,Yes,11.0,43.0,VIC,11.0,3095.3699999999994,0
157,Male,97,Financial Services,Affluent Customer,No,16.0,47.0,VIC,8.0,492.2299999999999,2
158,Male,99,Not Specified,Affluent Customer,No,5.0,38.0,NSW,6.0,4627.35,1
159,Male,90,Health,Affluent Customer,No,13.0,35.0,NSW,10.0,2935.3700000000003,1
160,Male,5,Health,Mass Customer,No,18.0,58.0,NSW,11.0,2614.1600000000003,1
161,Male,49,Not Specified,Mass Customer,No,16.0,46.0,NSW,10.0,459.46000000000015,1
162,Male,90,IT,Mass Customer,No,15.0,43.0,NSW,10.0,1329.61,1
163,Female,58,Entertainment,High Net Worth,Yes,14.0,46.0,VIC,10.0,1101.28,3
164,Female,55,Retail,Affluent Customer,Yes,1.0,23.0,QLD,4.0,786.1400000000001,3
165,Male,61,Argiculture,Mass Customer,Yes,12.0,38.0,NSW,10.0,6182.52,0
166,Male,54,Manufacturing,Affluent Customer,No,6.0,67.0,QLD,4.0,4197.44,2
167,Female,95,Health,High Net Worth,Yes,17.0,53.0,QLD,6.0,5993.34,3
168,U,8,IT,Affluent Customer,Yes,7.0,44.0,VIC,6.0,6545.92,3
169,Male,20,Telecommunications,High Net Worth,Yes,5.0,65.0,NSW,9.0,696.26,3
170,Male,80,Health,High Net Worth,No,21.0,47.0,VIC,8.0,1820.81,2
171,Female,62,Manufacturing,Mass Customer,No,10.0,51.0,NSW,11.0,4950.54,1
172,Male,54,Manufacturing,Affluent Customer,Yes,6.0,34.0,VIC,4.0,3107.18,3
173,Female,99,Health,Affluent Customer,No,1.0,25.0,NSW,8.0,6549.509999999999,1
174,Female,93,Health,Mass Customer,No,12.0,32.0,NSW,9.0,7628.24,1
175,Male,36,Manufacturing,Affluent Customer,No,5.0,46.0,VIC,11.0,2170.54,2
176,Male,39,Property,Mass Customer,No,10.0,30.0,NSW,8.0,3090.0699999999997,1
177,Female,25,Financial Services,High Net Worth,No,4.0,33.0,NSW,5.0,4108.599999999999,1
178,Male,2,Not Specified,Affluent Customer,No,8.0,55.0,NSW,7.0,2184.58,1
179,Male,23,Manufacturing,High Net Worth,Yes,6.0,56.0,NSW,9.0,1814.59,3
180,Female,16,Argiculture,Affluent Customer,No,14.0,51.0,QLD,8.0,4065.35,2
181,Female,49,Manufacturing,Mass Customer,No,9.0,39.0,VIC,1.0,2812.05,2
182,Male,99,Financial Services,Affluent Customer,Yes,7.0,29.0,QLD,4.0,5409.120000000001,3
183,Female,7,Retail,Affluent Customer,No,3.0,25.0,NSW,10.0,3187.84,1
184,Male,40,Manufacturing,High Net Worth,Yes,7.0,50.0,NSW,1.0,2181.35,3
185,Male,80,Property,Mass Customer,Yes,13.0,42.0,NSW,5.0,3547.6800000000003,0
186,Female,46,Financial Services,Mass Customer,No,3.0,48.0,QLD,7.0,2166.17,2
187,Male,97,Not Specified,Mass Customer,No,11.0,68.0,NSW,10.0,3014.88,1
188,Female,54,Property,High Net Worth,Yes,13.0,47.0,NSW,11.0,2658.87,3
189,Male,73,Financial Services,Affluent Customer,No,10.0,41.0,VIC,4.0,5329.98,2
190,Female,42,Health,Affluent Customer,No,10.0,43.0,NSW,9.0,704.2800000000002,1
191,Male,22,Not Specified,Affluent Customer,Yes,6.0,62.0,NSW,7.0,834.9399999999999,3
192,Female,2,Health,Mass Customer,Yes,8.0,43.0,VIC,6.0,1519.4700000000003,0
193,Male,13,Manufacturing,Mass Customer,Yes,12.0,58.0,QLD,7.0,2551.5,0
194,Female,4,Financial Services,Affluent Customer,No,10.0,47.0,QLD,5.0,2608.28,2
195,Female,34,Manufacturing,Mass Customer,No,6.0,63.0,VIC,9.0,9633.41,2
196,Male,90,Manufacturing,High Net Worth,No,6.0,56.0,NSW,8.0,3737.9999999999995,1
197,Female,32,Not Specified,High Net Worth,No,5.0,45.0,NSW,12.0,3651.7100000000005,1
198,Female,82,Entertainment,Mass Customer,No,16.0,40.0,VIC,7.0,6631.87,2
199,Female,61,Health,Mass Customer,Yes,21.0,44.0,NSW,8.0,2650.53,0
200,Male,7,Property,Affluent Customer,Yes,19.0,65.0,QLD,2.0,7283.86,3
201,Male,45,Manufacturing,Mass Customer,Yes,11.0,56.0,NSW,9.0,4369.02,0
202,Female,38,Entertainment,Affluent Customer,Yes,16.0,59.0,QLD,5.0,1295.91,3
203,Male,71,Argiculture,Mass Customer,Yes,11.0,58.0,NSW,11.0,1481.1200000000001,0
204,Male,56,Financial Services,Mass Customer,No,5.0,46.0,VIC,10.0,6287.29,2
205,Male,18,Financial Services,Mass Customer,Yes,6.0,63.0,VIC,9.0,2008.2699999999998,0
206,Female,98,Not Specified,Mass Customer,Yes,14.0,68.0,NSW,9.0,3816.6499999999996,0
207,Female,9,Not Specified,Mass Customer,No,7.0,28.0,QLD,8.0,1630.03,2
208,Male,57,Property,High Net Worth,No,5.0,28.0,QLD,7.0,3342.02,2
209,Male,9,Not Specified,Affluent Customer,Yes,6.0,65.0,NSW,11.0,3081.0700000000006,3
210,Male,50,Property,Mass Customer,No,18.0,58.0,VIC,9.0,2957.03,2
211,Female,6,Manufacturing,Mass Customer,Yes,5.0,48.0,NSW,10.0,4090.05,0
212,Female,21,IT,Affluent Customer,No,1.0,20.0,QLD,4.0,1790.41,2
213,Male,13,Financial Services,High Net Worth,Yes,6.0,26.0,QLD,4.0,8544.5,3
214,Male,82,Health,Mass Customer,No,6.0,64.0,QLD,9.0,2498.8399999999997,2
215,Female,37,Retail,High Net Worth,Yes,18.0,48.0,QLD,3.0,3889.3900000000003,3
216,Female,12,Financial Services,High Net Worth,Yes,7.0,27.0,NSW,10.0,2566.61,3
217,Female,63,Manufacturing,High Net Worth,No,16.0,42.0,NSW,11.0,2335.6900000000005,1
218,Female,37,Property,High Net Worth,Yes,8.0,29.0,NSW,8.0,1905.77,3
219,Male,9,Health,Mass Customer,No,7.0,57.0,NSW,8.0,2497.11,1
220,Female,79,Manufacturing,High Net Worth,No,9.0,68.0,VIC,8.0,4304.11,2
221,Female,14,Manufacturing,Mass Customer,No,14.0,42.0,NSW,8.0,3865.6800000000003,1
222,Male,89,Health,Mass Customer,No,16.0,44.0,NSW,11.0,1428.06,1
223,Male,13,Not Specified,Affluent Customer,Yes,14.0,38.0,NSW,7.0,4410.07,3
224,Male,2,Financial Services,Affluent Customer,No,17.0,54.0,NSW,12.0,3692.09,1
225,Female,84,Health,Affluent Customer,No,13.0,45.0,NSW,9.0,1587.5500000000002,1
226,Male,96,Manufacturing,Mass Customer,No,20.0,45.0,NSW,7.0,1173.8600000000001,1
227,Male,99,Entertainment,Mass Customer,No,18.0,49.0,NSW,9.0,3906.03,1
228,Female,59,Manufacturing,High Net Worth,No,12.0,36.0,NSW,7.0,3719.75,1
229,Male,30,Property,High Net Worth,No,19.0,56.0,NSW,10.0,1811.84,1
230,Female,74,Property,High Net Worth,No,11.0,68.0,NSW,11.0,5319.63,1
231,Male,48,Financial Services,Mass Customer,Yes,3.0,27.0,NSW,10.0,2344.5200000000004,0
232,Female,94,Retail,Mass Customer,No,12.0,35.0,NSW,9.0,3157.59,1
233,Male,34,Property,Mass Customer,No,13.0,36.0,NSW,10.0,2187.09,1
234,Female,71,Retail,High Net Worth,No,12.0,53.0,NSW,10.0,5953.5,1
235,Female,30,Health,Mass Customer,No,15.0,45.0,NSW,8.0,4685.82,1
236,Male,79,Health,Affluent Customer,No,14.0,68.0,VIC,2.0,2434.64,2
237,Male,18,Property,High Net Worth,Yes,11.0,48.0,NSW,11.0,3635.04,3
238,Male,54,Not Specified,Mass Customer,Yes,14.0,38.0,NSW,8.0,3112.57,0
239,Male,62,Health,Affluent Customer,No,3.0,29.0,QLD,3.0,5928.23,2
240,Male,49,IT,High Net Worth,Yes,15.0,33.0,NSW,9.0,2338.2099999999996,3
241,Male,94,Entertainment,Mass Customer,No,20.0,35.0,QLD,7.0,1922.82,2
242,Male,17,Property,Affluent Customer,No,8.0,30.0,NSW,9.0,2558.7,1
243,Female,94,Manufacturing,High Net Worth,Yes,14.0,46.0,NSW,8.0,3595.33,3
244,Male,57,Retail,Affluent Customer,No,8.0,47.0,VIC,6.0,4870.43,2
245,Female,6,Financial Services,Affluent Customer,No,1.0,21.0,VIC,1.0,2213.0199999999995,2
246,Female,63,Manufacturing,High Net Worth,No,9.0,31.0,QLD,5.0,3174.16,2
247,Female,62,Financial Services,High Net Worth,Yes,13.0,39.0,NSW,4.0,4913.16,3
248,Female,76,Health,Affluent Customer,Yes,12.0,44.0,NSW,10.0,3193.3199999999997,3
249,Male,65,IT,High Net Worth,No,9.0,30.0,NSW,11.0,2236.1299999999997,1
250,Male,53,Health,Mass Customer,Yes,13.0,34.0,NSW,10.0,4019.05,0
251,Female,88,Financial Services,Affluent Customer,Yes,10.0,44.0,NSW,8.0,1210.0,3
252,Female,39,Property,Mass Customer,Yes,13.0,39.0,NSW,7.0,2597.64,0
253,Female,82,Health,Mass Customer,Yes,1.0,25.0,NSW,7.0,1191.29,0
254,Female,98,Retail,Mass Customer,No,14.0,61.0,VIC,1.0,6780.95,2
255,Female,2,IT,Mass Customer,No,5.0,68.0,VIC,2.0,7594.57,2
256,Female,16,Health,High Net Worth,Yes,21.0,47.0,NSW,7.0,1728.6599999999999,3
257,Female,70,Manufacturing,Affluent Customer,Yes,19.0,56.0,NSW,5.0,3650.53,3
258,Female,24,Manufacturing,High Net Worth,No,9.0,30.0,NSW,6.0,1642.58,1
259,Female,70,Health,High Net Worth,Yes,3.0,39.0,NSW,6.0,2124.65,3
260,Female,47,Health,High Net Worth,Yes,22.0,43.0,QLD,2.0,3381.41,3
261,Male,74,Not Specified,Mass Customer,No,8.0,45.0,NSW,1.0,4033.1499999999996,1
262,Male,97,Health,High Net Worth,Yes,10.0,44.0,NSW,10.0,2117.8599999999997,3
263,Female,89,Health,High Net Worth,No,7.0,36.0,NSW,9.0,3476.94,1
264,Male,31,Health,Mass Customer,No,11.0,44.0,NSW,10.0,1224.6999999999998,1
265,Male,74,Retail,High Net Worth,Yes,18.0,57.0,VIC,9.0,2692.9100000000003,3
266,Female,69,Retail,Affluent Customer,No,18.0,33.0,NSW,10.0,1742.83,1
267,U,53,IT,High Net Worth,No,7.0,44.0,NSW,10.0,2337.9900000000002,1
268,Female,60,Manufacturing,Mass Customer,No,10.0,44.0,NSW,9.0,2713.19,1
269,Male,55,Property,Mass Customer,Yes,9.0,68.0,VIC,7.0,1668.85,0
270,Female,38,Not Specified,Mass Customer,Yes,17.0,51.0,VIC,10.0,4625.21,0
271,Female,51,Financial Services,Mass Customer,No,4.0,31.0,QLD,2.0,1026.2700000000002,2
272,Female,22,Retail,Mass Customer,Yes,1.0,35.0,NSW,12.0,3842.0699999999997,0
273,Male,54,Not Specified,Mass Customer,No,19.0,59.0,VIC,9.0,6519.24,2
274,Female,66,Health,Mass Customer,Yes,14.0,46.0,VIC,8.0,790.0600000000001,0
275,Male,7,Health,High Net Worth,No,13.0,67.0,NSW,4.0,4141.68,1
276,Female,47,Financial Services,Mass Customer,No,22.0,32.0,VIC,8.0,1107.9499999999998,2
277,Female,69,Not Specified,High Net Worth,No,15.0,66.0,QLD,8.0,1967.13,2
278,Male,22,Not Specified,Affluent Customer,Yes,4.0,25.0,NSW,12.0,827.1599999999999,3
279,Female,0,Manufacturing,Mass Customer,No,11.0,41.0,NSW,11.0,2455.93,1
280,Male,15,Not Specified,Affluent Customer,Yes,5.0,27.0,NSW,8.0,7360.53,3
281,Female,51,Financial Services,High Net Worth,Yes,8.0,49.0,NSW,6.0,2233.67,3
282,Male,82,Argiculture,High Net Worth,Yes,11.0,33.0,QLD,5.0,624.15,3
283,Female,34,Retail,Mass Customer,No,2.0,31.0,QLD,6.0,4926.57,2
284,Male,38,Financial Services,High Net Worth,Yes,9.0,36.0,NSW,11.0,3251.4199999999996,3
285,Female,3,Manufacturing,Mass Customer,No,12.0,44.0,NSW,12.0,2626.74,1
286,Male,99,Manufacturing,Affluent Customer,Yes,11.0,33.0,QLD,7.0,1954.7,3
287,Female,41,Manufacturing,Affluent Customer,No,4.0,37.0,NSW,8.0,1408.91,1
288,Male,71,Manufacturing,High Net Worth,No,9.0,37.0,VIC,7.0,1808.7299999999996,2
289,Female,43,Health,High Net Worth,No,10.0,52.0,NSW,9.0,5312.030000000001,1
290,U,42,IT,Mass Customer,No,7.0,44.0,NSW,9.0,3368.2799999999997,1
291,Female,63,Entertainment,Mass Customer,No,4.0,51.0,VIC,5.0,605.01,2
292,Female,42,Not Specified,Affluent Customer,Yes,9.0,60.0,QLD,8.0,3631.6000000000004,3
293,Male,80,Manufacturing,Mass Customer,Yes,20.0,32.0,NSW,2.0,1991.9300000000003,0
294,Male,39,Not Specified,High Net Worth,No,5.0,63.0,VIC,7.0,5509.67,2
295,Female,64,Not Specified,Mass Customer,Yes,18.0,57.0,QLD,6.0,4539.9,0
296,Male,34,Health,High Net Worth,Yes,17.0,50.0,NSW,8.0,2515.29,3
297,Female,33,Manufacturing,High Net Worth,No,16.0,63.0,VIC,7.0,3599.1800000000003,2
